gene,gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
ENSG00000121410,A1BG,ENSG00000121410.12,protein_coding,58858938,-,chr19,-4.5631985264295,-3.17266872938774,-4.445362036135642
ENSG00000148584,A1CF,ENSG00000148584.15,protein_coding,52645379,-,chr10,-7.243318260190997,-6.687799537362322,-7.1791879227712805
ENSG00000175899,A2M,ENSG00000175899.15,protein_coding,9268507,-,chr12,5.214346322875054,6.680884108445916,5.391613078291697
ENSG00000166535,A2ML1,ENSG00000166535.20,protein_coding,8975206,+,chr12,-2.501442751900984,-1.0241497397288344,-2.346664773208869
ENSG00000128274,A4GALT,ENSG00000128274.17,protein_coding,43116867,-,chr22,2.025064241108664,3.517855174822648,2.1944653316379967
ENSG00000118017,A4GNT,ENSG00000118017.4,protein_coding,137851220,-,chr3,-5.339345147964772,-4.163591067720263,-5.158429362604483
ENSG00000094914,AAAS,ENSG00000094914.14,protein_coding,53715328,-,chr12,3.806231243429805,5.282714083744913,3.99677739012741
ENSG00000081760,AACS,ENSG00000081760.17,protein_coding,125549973,+,chr12,1.049700461453794,2.587316980319278,1.2220007795286991
ENSG00000114771,AADAC,ENSG00000114771.14,protein_coding,151531890,+,chr3,0.7805620761710598,2.246073598622395,0.9977620878563146
ENSG00000197953,AADACL2,ENSG00000197953.6,protein_coding,151451707,+,chr3,-6.546245393148302,-5.594225422050124,-6.429731384421878
ENSG00000188984,AADACL3,ENSG00000188984.12,protein_coding,12776111,+,chr1,-6.601211852366231,-5.717856771218502,-6.559791924986251
ENSG00000109576,AADAT,ENSG00000109576.14,protein_coding,171011323,-,chr4,0.4111007890854134,1.9314561409127124,0.5989368338225272
ENSG00000103591,AAGAB,ENSG00000103591.13,protein_coding,67546963,-,chr15,3.3135361032805206,4.755266827653981,3.468765760127853
ENSG00000127837,AAMP,ENSG00000127837.10,protein_coding,219134822,-,chr2,5.2746306755816414,6.801624300286018,5.46697616955751
ENSG00000129673,AANAT,ENSG00000129673.10,protein_coding,74463679,+,chr17,-2.448508591452505,-0.9816506901211082,-2.2834919132312543
ENSG00000124608,AARS2,ENSG00000124608.5,protein_coding,44281043,-,chr6,2.163852921958912,3.6752739720971928,2.3274574342941534
ENSG00000157426,AASDH,ENSG00000157426.14,protein_coding,57253587,-,chr4,1.1346152444251083,2.650511835622164,1.3286641575580502
