chromosome_name,start,end,locus_id,color,strand,start2,end2,RGB,p,gene_name,Gene stable ID,gene_id
chr19,58858764,58858793,"p9@A1BG,0.3201",107.0,-,58858764,58858793,"60,179,113",p9,A1BG,ENSG00000121410,ENSG00000121410.7
chr19,58862884,58862885,"p4@A1BG-AS1,0.1719",-450.0,+,58862884,58862885,"30,144,255",p4,A1BG-AS1,ENSG00000268895,ENSG00000268895.1
chr10,52624023,52624024,"p6@A1CF,0.0757",-183.0,-,52624023,52624024,"211,211,211",p6,A1CF,ENSG00000148584,ENSG00000148584.10
chr12,9232944,9232945,"p40@A2M,0.3736",48.0,-,9232944,9232945,"60,179,113",p40,A2M,ENSG00000175899,ENSG00000175899.10
chr12,8995874,8995875,"p26@A2ML1,0.2731",42.0,+,8995874,8995875,"60,179,113",p26,A2ML1,ENSG00000166535,ENSG00000166535.15
chr12,8983864,8983875,"p2@A2ML1-AS1,0.1210",-321.0,-,8983864,8983875,"211,211,211",p2,A2ML1-AS1,ENSG00000256661,ENSG00000256661.1
chr22,43091530,43091532,"p12@A4GALT,0.5001",106.0,-,43091530,43091532,"60,179,113",p12,A4GALT,ENSG00000128274,ENSG00000128274.11
chr3,137851296,137851301,"p2@A4GNT,0.1914",-67.0,-,137851296,137851301,"30,144,255",p2,A4GNT,ENSG00000118017,ENSG00000118017.3
chr12,53714586,53714591,"p11@AAAS,0.2274",400.0,-,53714586,53714591,"30,144,255",p11,AAAS,ENSG00000094914,ENSG00000094914.8
chr12,125609429,125609430,"p8@AACS,0.1088",-106.0,+,125609429,125609430,"211,211,211",p8,AACS,ENSG00000081760,ENSG00000081760.12
chr5,178245184,178245186,"p2@AACSP1,0.1886",200.0,-,178245184,178245186,"30,144,255",p2,AACSP1,ENSG00000250420,ENSG00000250420.4
chr3,151531543,151531547,"p5@AADAC,0.0994",-277.0,+,151531543,151531547,"211,211,211",p5,AADAC,ENSG00000114771,ENSG00000114771.9
chr3,151451684,151451687,"p2@AADACL2,0.2250",-16.0,+,151451684,151451687,"30,144,255",p2,AADACL2,ENSG00000261846,ENSG00000261846.1
chr3,151451684,151451687,"p2@AADACL2,0.2250",-16.0,+,151451684,151451687,"30,144,255",p2,AADACL2,ENSG00000197953,ENSG00000197953.5
chr1,12775650,12775651,"p2@AADACL3,0.1221",-466.0,+,12775650,12775651,"211,211,211",p2,AADACL3,ENSG00000188984,ENSG00000188984.7
chr1,12704499,12704541,"p1@AADACL4,0.1082",-24.0,+,12704499,12704541,"211,211,211",p1,AADACL4,ENSG00000204518,ENSG00000204518.2
chr4,171012844,171012850,"p12@AADAT,0.1843",0.0,-,171012844,171012850,"30,144,255",p12,AADAT,ENSG00000109576,ENSG00000109576.9
chr15,67547591,67547593,"p8@AAGAB,0.4117",-58.0,-,67547591,67547593,"60,179,113",p8,AAGAB,ENSG00000103591,ENSG00000103591.8
chr2,69871529,69871531,"p51@AAK1,0.2433",-437.0,-,69871529,69871531,"60,179,113",p51,AAK1,ENSG00000115977,ENSG00000115977.14
chr2,219130484,219130486,"p10@AAMP,0.2117",157.0,-,219130484,219130486,"30,144,255",p10,AAMP,ENSG00000127837,ENSG00000127837.5
chr17,74463593,74463596,"p8@AANAT,0.6174",-33.0,+,74463593,74463596,"60,179,113",p8,AANAT,ENSG00000129673,ENSG00000129673.5
chr16,70323579,70323601,"p6@AARS,0.3484",-167.0,-,70323579,70323601,"60,179,113",p6,AARS,ENSG00000090861,ENSG00000090861.11
chr6,44273388,44273390,"p2@AARS2,0.1674",130.0,-,44273388,44273390,"30,144,255",p2,AARS2,ENSG00000124608,ENSG00000124608.4
chr17,41132335,41132359,"p12@AARSD1,0.4214",6.0,-,41132335,41132359,"60,179,113",p12,AARSD1,ENSG00000266967,ENSG00000266967.2
chr4,57248735,57248765,"p2@AASDH,0.0846",0.0,-,57248735,57248765,"211,211,211",p2,AASDH,ENSG00000157426,ENSG00000157426.9
chr11,105961916,105961918,"p6@AASDHPPT,0.0924",-275.0,+,105961916,105961918,"211,211,211",p6,AASDHPPT,ENSG00000149313,ENSG00000149313.6
chr7,121726212,121726224,"p7@AASS,0.1443",-5.0,-,121726212,121726224,"30,144,255",p7,AASS,ENSG00000008311,ENSG00000008311.10
chr17,35310417,35310421,"p5@AATF,0.1174",191.0,+,35310417,35310421,"211,211,211",p5,AATF,ENSG00000108270,ENSG00000108270.6
chr17,79095292,79095293,"p26@AATK,0.2919",11.0,-,79095292,79095293,"60,179,113",p26,AATK,ENSG00000181409,ENSG00000181409.7
chr17,79138909,79138937,"p2@AATK-AS1,0.2206",-369.0,+,79138909,79138937,"30,144,255",p2,AATK-AS1,ENSG00000225180,ENSG00000225180.2
chr16,8876237,8876238,"p37@ABAT,0.0980",303.0,+,8876237,8876238,"211,211,211",p37,ABAT,ENSG00000183044,ENSG00000183044.7
chr9,107651692,107651693,"p20@ABCA1,0.0820",-216.0,-,107651692,107651693,"211,211,211",p20,ABCA1,ENSG00000165029,ENSG00000165029.11
chr17,67171876,67171877,"p10@ABCA10,0.3836",44.0,-,67171876,67171877,"60,179,113",p10,ABCA10,ENSG00000154263,ENSG00000154263.13
chr4,468130,468131,"p2@ABCA11P,p4@ZNF721,0.2686",-132.0,-,468130,468131,"60,179,113",p2,ABCA11P,ENSG00000251595,ENSG00000251595.3
chr4,468130,468131,"p2@ABCA11P,p4@ZNF721,0.2686",-132.0,-,468130,468131,"60,179,113",p2,ABCA11P,ENSG00000273195,ENSG00000273195.1
chr2,216003039,216003042,"p10@ABCA12,0.3569",84.0,-,216003039,216003042,"60,179,113",p10,ABCA12,ENSG00000144452,ENSG00000144452.10
chr7,48494766,48494767,"p9@ABCA13,0.5019",106.0,+,48494766,48494767,"60,179,113",p9,ABCA13,ENSG00000179869,ENSG00000179869.10
chr16,2391261,2391265,"p12@ABCA17P,0.4251",141.0,+,2391261,2391265,"60,179,113",p12,ABCA17P,ENSG00000238098,ENSG00000238098.4
chr9,139905556,139905557,"p94@ABCA2,0.2369",-88.0,-,139905556,139905557,"60,179,113",p94,ABCA2,ENSG00000107331,ENSG00000107331.12
chr16,2380053,2380062,"p17@ABCA3,0.1377",-198.0,-,2380053,2380062,"211,211,211",p17,ABCA3,ENSG00000167972,ENSG00000167972.9
