<<<<<<< HEAD
,gene_name,gene_stable_id,gene_id,gene_type,TSS,genomic_strand,chromosome_name
=======
,gene_name,gene_stable_id,gene_id,gene_type,TSS,strand,chromosome_name
>>>>>>> 95417ce17ae687692cf8b306f49d13f766d81eb1
0,A1BG,ENSG00000121410,ENSG00000121410.12,protein_coding,58347673,-,chr19
1,A1CF,ENSG00000148584,ENSG00000148584.15,protein_coding,50885633,-,chr10
2,A2M,ENSG00000175899,ENSG00000175899.15,protein_coding,9115927,-,chr12
3,A2ML1,ENSG00000166535,ENSG00000166535.20,protein_coding,8822627,+,chr12
4,A4GALT,ENSG00000128274,ENSG00000128274.17,protein_coding,42720879,-,chr22
5,A4GNT,ENSG00000118017,ENSG00000118017.4,protein_coding,138132394,-,chr3
6,AAAS,ENSG00000094914,ENSG00000094914.14,protein_coding,53321627,-,chr12
7,AACS,ENSG00000081760,ENSG00000081760.17,protein_coding,125065449,+,chr12
8,AADAC,ENSG00000114771,ENSG00000114771.14,protein_coding,151814127,+,chr3
9,AADACL2,ENSG00000197953,ENSG00000197953.6,protein_coding,151733934,+,chr3
10,AADACL3,ENSG00000188984,ENSG00000188984.12,protein_coding,12716116,+,chr1
11,AADACL4,ENSG00000204518,ENSG00000204518.3,protein_coding,12644522,+,chr1
12,AADAT,ENSG00000109576,ENSG00000109576.14,protein_coding,170090257,-,chr4
13,AAGAB,ENSG00000103591,ENSG00000103591.13,protein_coding,67254686,-,chr15
14,AAK1,ENSG00000115977,ENSG00000115977.21,protein_coding,69643680,-,chr2
15,AAMP,ENSG00000127837,ENSG00000127837.10,protein_coding,218270175,-,chr2
16,AANAT,ENSG00000129673,ENSG00000129673.10,protein_coding,76467619,+,chr17
17,AARS2,ENSG00000124608,ENSG00000124608.5,protein_coding,44313354,-,chr6
18,AASDH,ENSG00000157426,ENSG00000157426.14,protein_coding,56387504,-,chr4
19,AASDHPPT,ENSG00000149313,ENSG00000149313.11,protein_coding,106077689,+,chr11
20,AASS,ENSG00000008311,ENSG00000008311.16,protein_coding,122144296,-,chr7
21,AATK,ENSG00000181409,ENSG00000181409.14,protein_coding,81128897,-,chr17
22,ABAT,ENSG00000183044,ENSG00000183044.12,protein_coding,8674627,+,chr16
23,ABCA1,ENSG00000165029,ENSG00000165029.17,protein_coding,104928161,-,chr9
24,ABCA10,ENSG00000154263,ENSG00000154263.17,protein_coding,69228771,-,chr17
25,ABCA12,ENSG00000144452,ENSG00000144452.15,protein_coding,215138636,-,chr2
26,ABCA13,ENSG00000179869,ENSG00000179869.15,protein_coding,48171466,+,chr7
27,ABCA2,ENSG00000107331,ENSG00000107331.17,protein_coding,137028245,-,chr9
28,ABCA3,ENSG00000167972,ENSG00000167972.14,protein_coding,2340761,-,chr16
29,ABCA4,ENSG00000198691,ENSG00000198691.13,protein_coding,94121177,-,chr1
30,ABCA5,ENSG00000154265,ENSG00000154265.16,protein_coding,69327158,-,chr17
31,ABCA6,ENSG00000154262,ENSG00000154262.13,protein_coding,69141921,-,chr17
32,ABCA7,ENSG00000064687,ENSG00000064687.13,protein_coding,1040162,+,chr19
33,ABCA8,ENSG00000141338,ENSG00000141338.14,protein_coding,68955409,-,chr17
34,ABCA9,ENSG00000154258,ENSG00000154258.17,protein_coding,69060953,-,chr17
35,ABCB1,ENSG00000085563,ENSG00000085563.15,protein_coding,87600891,-,chr7
36,ABCB10,ENSG00000135776,ENSG00000135776.5,protein_coding,229558730,-,chr1
37,ABCB11,ENSG00000073734,ENSG00000073734.10,protein_coding,169031329,-,chr2
38,ABCB4,ENSG00000005471,ENSG00000005471.19,protein_coding,87475722,-,chr7
39,ABCB5,ENSG00000004846,ENSG00000004846.17,protein_coding,20647335,+,chr7
40,ABCB6,ENSG00000115657,ENSG00000115657.14,protein_coding,219218963,-,chr2
41,ABCB7,ENSG00000131269,ENSG00000131269.19,protein_coding,75156294,-,chrX
42,ABCB8,ENSG00000197150,ENSG00000197150.13,protein_coding,151028466,+,chr7
43,ABCB9,ENSG00000150967,ENSG00000150967.18,protein_coding,122966480,-,chr12
44,ABCC1,ENSG00000103222,ENSG00000103222.20,protein_coding,15949645,+,chr16
45,ABCC10,ENSG00000124574,ENSG00000124574.15,protein_coding,43427585,+,chr6
46,ABCC11,ENSG00000121270,ENSG00000121270.16,protein_coding,48244264,-,chr16
47,ABCC12,ENSG00000140798,ENSG00000140798.16,protein_coding,48091226,-,chr16
48,ABCC2,ENSG00000023839,ENSG00000023839.12,protein_coding,99782778,+,chr10
49,ABCC3,ENSG00000108846,ENSG00000108846.16,protein_coding,50634924,+,chr17
50,ABCC4,ENSG00000125257,ENSG00000125257.16,protein_coding,95301486,-,chr13
51,ABCC5,ENSG00000114770,ENSG00000114770.17,protein_coding,184017939,-,chr3
52,ABCC8,ENSG00000006071,ENSG00000006071.16,protein_coding,17476884,-,chr11
53,ABCC9,ENSG00000069431,ENSG00000069431.13,protein_coding,21941433,-,chr12
54,ABCD1,ENSG00000101986,ENSG00000101986.12,protein_coding,153724864,+,chrX
55,ABCD2,ENSG00000173208,ENSG00000173208.4,protein_coding,39619833,-,chr12
56,ABCD3,ENSG00000117528,ENSG00000117528.14,protein_coding,94418424,+,chr1
57,ABCD4,ENSG00000119688,ENSG00000119688.21,protein_coding,74303002,-,chr14
58,ABCE1,ENSG00000164163,ENSG00000164163.11,protein_coding,145098343,+,chr4
59,ABCF1,ENSG00000204574,ENSG00000204574.14,protein_coding,30571478,+,chr6
60,ABCF2,ENSG00000033050,ENSG00000033050.9,protein_coding,151227246,-,chr7
61,ABCF3,ENSG00000161204,ENSG00000161204.11,protein_coding,184186208,+,chr3
62,ABCG1,ENSG00000160179,ENSG00000160179.19,protein_coding,42219169,+,chr21
63,ABCG2,ENSG00000118777,ENSG00000118777.12,protein_coding,88158923,-,chr4
64,ABCG4,ENSG00000172350,ENSG00000172350.10,protein_coding,119149059,+,chr11
65,ABCG5,ENSG00000138075,ENSG00000138075.14,protein_coding,43838769,-,chr2
66,ABCG8,ENSG00000143921,ENSG00000143921.9,protein_coding,43838985,+,chr2
67,ABHD1,ENSG00000143994,ENSG00000143994.14,protein_coding,27123854,+,chr2
68,ABHD10,ENSG00000144827,ENSG00000144827.9,protein_coding,111979061,+,chr3
69,ABHD11,ENSG00000106077,ENSG00000106077.19,protein_coding,73738818,-,chr7
70,ABHD12,ENSG00000100997,ENSG00000100997.20,protein_coding,25390871,-,chr20
71,ABHD12B,ENSG00000131969,ENSG00000131969.15,protein_coding,50872139,+,chr14
72,ABHD13,ENSG00000139826,ENSG00000139826.6,protein_coding,108218530,+,chr13
73,ABHD14A,ENSG00000248487,ENSG00000248487.9,protein_coding,51975086,+,chr3
74,ABHD14A-ACY1,ENSG00000114786,ENSG00000114786.16,protein_coding,51974055,+,chr3
75,ABHD15,ENSG00000168792,ENSG00000168792.5,protein_coding,29567042,-,chr17
76,ABHD16A,ENSG00000204427,ENSG00000204427.12,protein_coding,31703365,-,chr6
77,ABHD16B,ENSG00000183260,ENSG00000183260.7,protein_coding,63861487,+,chr20
78,ABHD2,ENSG00000140526,ENSG00000140526.18,protein_coding,89088494,+,chr15
79,ABHD3,ENSG00000158201,ENSG00000158201.10,protein_coding,21704818,-,chr18
80,ABHD4,ENSG00000100439,ENSG00000100439.10,protein_coding,22598310,+,chr14
81,ABHD5,ENSG00000011198,ENSG00000011198.10,protein_coding,43690944,+,chr3
82,ABHD6,ENSG00000163686,ENSG00000163686.15,protein_coding,58237846,+,chr3
83,ABHD8,ENSG00000127220,ENSG00000127220.6,protein_coding,17303440,-,chr19
84,ABI1,ENSG00000136754,ENSG00000136754.18,protein_coding,26860969,-,chr10
85,ABI2,ENSG00000138443,ENSG00000138443.17,protein_coding,203328315,+,chr2
86,ABI3,ENSG00000108798,ENSG00000108798.9,protein_coding,49210718,+,chr17
87,ABI3BP,ENSG00000154175,ENSG00000154175.18,protein_coding,100993430,-,chr3
88,ABL1,ENSG00000097007,ENSG00000097007.19,protein_coding,130835288,+,chr9
89,ABL2,ENSG00000143322,ENSG00000143322.21,protein_coding,179143084,-,chr1
90,ABLIM1,ENSG00000099204,ENSG00000099204.20,protein_coding,114526934,-,chr10
91,ABLIM2,ENSG00000163995,ENSG00000163995.21,protein_coding,8158855,-,chr4
92,ABLIM3,ENSG00000173210,ENSG00000173210.20,protein_coding,149141513,+,chr5
93,ABR,ENSG00000159842,ENSG00000159842.16,protein_coding,1180000,-,chr17
94,ABRA,ENSG00000174429,ENSG00000174429.4,protein_coding,106770251,-,chr8
95,ABT1,ENSG00000146109,ENSG00000146109.5,protein_coding,26596985,+,chr6
96,ABTB1,ENSG00000114626,ENSG00000114626.18,protein_coding,127673018,+,chr3
97,ABTB2,ENSG00000166016,ENSG00000166016.6,protein_coding,34358016,-,chr11
98,ACAA1,ENSG00000060971,ENSG00000060971.19,protein_coding,38137141,-,chr3
99,ACAA2,ENSG00000167315,ENSG00000167315.18,protein_coding,49813540,-,chr18
100,ACACB,ENSG00000076555,ENSG00000076555.15,protein_coding,109131367,+,chr12
101,ACAD10,ENSG00000111271,ENSG00000111271.15,protein_coding,111686109,+,chr12
102,ACAD11,ENSG00000240303,ENSG00000240303.8,protein_coding,132659822,-,chr3
103,ACAD8,ENSG00000151498,ENSG00000151498.12,protein_coding,134253591,+,chr11
104,ACAD9,ENSG00000177646,ENSG00000177646.20,protein_coding,128879668,+,chr3
105,ACADL,ENSG00000115361,ENSG00000115361.8,protein_coding,210225397,-,chr2
106,ACADM,ENSG00000117054,ENSG00000117054.15,protein_coding,75724772,+,chr1
107,ACADS,ENSG00000122971,ENSG00000122971.9,protein_coding,120725879,+,chr12
108,ACADSB,ENSG00000196177,ENSG00000196177.13,protein_coding,123009026,+,chr10
109,ACADVL,ENSG00000072778,ENSG00000072778.20,protein_coding,7219956,+,chr17
110,ACAN,ENSG00000157766,ENSG00000157766.19,protein_coding,88803442,+,chr15
111,ACAP1,ENSG00000072818,ENSG00000072818.12,protein_coding,7336583,+,chr17
