gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
A1BG,ENSG00000121410,protein_coding,58858938,-,chr19,-4.5631985264295,-3.17266872938774,-4.445362036135642
A1CF,ENSG00000148584,protein_coding,52645379,-,chr10,-7.243318260190997,-6.687799537362322,-7.1791879227712805
A2M,ENSG00000175899,protein_coding,9268507,-,chr12,5.214346322875054,6.680884108445916,5.391613078291697
A2ML1,ENSG00000166535,protein_coding,8975206,+,chr12,-2.501442751900984,-1.0241497397288344,-2.346664773208869
A4GALT,ENSG00000128274,protein_coding,43116867,-,chr22,2.025064241108664,3.517855174822648,2.1944653316379967
A4GNT,ENSG00000118017,protein_coding,137851220,-,chr3,-5.339345147964772,-4.163591067720263,-5.158429362604483
AAAS,ENSG00000094914,protein_coding,53715328,-,chr12,3.806231243429805,5.282714083744913,3.99677739012741
AACS,ENSG00000081760,protein_coding,125549973,+,chr12,1.049700461453794,2.587316980319278,1.2220007795286991
AADAC,ENSG00000114771,protein_coding,151531890,+,chr3,0.7805620761710598,2.246073598622395,0.9977620878563146
AADACL2,ENSG00000197953,protein_coding,151451707,+,chr3,-6.546245393148302,-5.594225422050124,-6.429731384421878
AADACL3,ENSG00000188984,protein_coding,12776111,+,chr1,-6.601211852366231,-5.717856771218502,-6.559791924986251
AADACL4,ENSG00000204518,protein_coding,12704499,+,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
AADAT,ENSG00000109576,protein_coding,171011323,-,chr4,0.4111007890854134,1.9314561409127124,0.5989368338225272
AAGAB,ENSG00000103591,protein_coding,67546963,-,chr15,3.3135361032805206,4.755266827653981,3.468765760127853
AAK1,ENSG00000115977,protein_coding,69870747,-,chr2,1.5449798832558037,3.039664828884845,1.7236459287004278
AAMP,ENSG00000127837,protein_coding,219134822,-,chr2,5.2746306755816414,6.801624300286018,5.46697616955751
AANAT,ENSG00000129673,protein_coding,74463679,+,chr17,-2.448508591452505,-0.9816506901211082,-2.2834919132312543
AARS2,ENSG00000124608,protein_coding,44281043,-,chr6,2.163852921958912,3.6752739720971928,2.3274574342941534
AASDH,ENSG00000157426,protein_coding,57253587,-,chr4,1.1346152444251083,2.650511835622164,1.3286641575580502
AASDHPPT,ENSG00000149313,protein_coding,105948366,+,chr11,2.6841903664960176,4.17284750429357,2.867085955586428
AASS,ENSG00000008311,protein_coding,121784285,-,chr7,-0.1847524936393254,1.3524195592151618,0.0344974641994448
AATK,ENSG00000181409,protein_coding,79102672,-,chr17,-0.745647837266007,0.7399344890375401,-0.5992434968167487
ABAT,ENSG00000183044,protein_coding,8768462,+,chr16,0.8130320777379747,2.298423711931038,0.9759969576164432
ABCA1,ENSG00000165029,protein_coding,107690428,-,chr9,1.9369299815805967,3.3713218787461354,2.1490967441793933
ABCA10,ENSG00000154263,protein_coding,67224876,-,chr17,-4.02561753417927,-2.6091122404499902,-3.8426975336810254
ABCA12,ENSG00000144452,protein_coding,216003325,-,chr2,-3.974829424265094,-2.6099927379084407,-3.863546090731349
ABCA13,ENSG00000179869,protein_coding,48211048,+,chr7,-3.3190455863542407,-1.90454811891434,-3.1228054528737617
ABCA2,ENSG00000107331,protein_coding,139922671,-,chr9,2.4195658575242134,3.931040035256754,2.606702789911626
ABCA3,ENSG00000167972,protein_coding,2390704,-,chr16,2.294547233895514,3.7789129275197855,2.4303388042681484
ABCA4,ENSG00000198691,protein_coding,94586651,-,chr1,-1.112162828913259,0.3094090492401189,-0.892446029710354
ABCA5,ENSG00000154265,protein_coding,67323232,-,chr17,-1.0394882898809756,0.4391443759012787,-0.9107730579296044
ABCA6,ENSG00000154262,protein_coding,67138020,-,chr17,-3.561494220217251,-2.175924643748438,-3.4065984188743528
ABCA7,ENSG00000064687,protein_coding,1040096,+,chr19,0.0683268614345055,1.5974119875546502,0.2519311266885866
ABCA8,ENSG00000141338,protein_coding,66951474,-,chr17,-2.736965594166206,-1.3389801397298358,-2.5933544923279976
ABCA9,ENSG00000154258,protein_coding,67057061,-,chr17,-3.1328942704973457,-1.7451641172142367,-2.9680402586024552
ABCB1,ENSG00000085563,protein_coding,87230189,-,chr7,-2.346664773208869,-0.8945901059599183,-2.2108967824986188
ABCB10,ENSG00000135776,protein_coding,229694406,-,chr1,2.0441142968214003,3.543000877402425,2.2291264326132785
ABCB11,ENSG00000073734,protein_coding,169887827,-,chr2,-5.795859283219775,-4.5631985264295,-5.673002535434241
ABCB4,ENSG00000005471,protein_coding,87104963,-,chr7,-3.695255342281369,-2.3291596641184382,-3.5597919249862504
ABCB5,ENSG00000004846,protein_coding,20686946,+,chr7,-5.772012541265407,-4.542878542049904,-5.65835575946984
