	gene_id	gene_type	split	labels	gene_name	TSS	chromosome_name	strand	fpkm_median	tpm_median	fpkm_uq_median
74	ENSG00000114786	protein_coding	train	0.9556341825213586	ABHD14A-ACY1	51974055	chr3	+	-5.368849142274855	-4.115284870903968	-5.216250016992825
608	ENSG00000198483	protein_coding	train	-0.4275622856313025	ANKRD35	145872779	chr1	-	-1.996541680227589	-0.6221543897030343	-1.827256483239813
609	ENSG00000174501	protein_coding	train	-0.0435695525609289	ANKRD36C	97113660	chr2	-	-1.434402824145775	-0.0036112535523788	-1.2337864980183446
1150	ENSG00000198049	protein_coding	train	-1.4355715179326214	AVPR1B	206117389	chr1	-	-2.80793211552035	-1.3887331749269354	-2.651994259218402
1963	ENSG00000147996	protein_coding	train	-0.1138272038424229	CBWD5	65675958	chr9	+	-1.1275258029487878	0.3251561177415912	-0.9200246232794042
2159	ENSG00000146574	protein_coding	train	0.4494782049378372	CCZ1B	5898799	chr7	-	0.6188964121630878	2.071350804128844	0.7987556139146188
2164	ENSG00000117281	protein_coding	train	-1.340584000734003	CD160	145719512	chr1	+	-3.465938397578882	-1.9919434451289413	-3.257045243302508
2569	ENSG00000166664	protein_coding	train	-0.5822805993164796	CHRFAM7A	32030522	chr15	-	-5.054092702789747	-3.7838866415536994	-4.961282892427146
2832	ENSG00000154529	protein_coding	train	-0.6866529687401679	CNTNAP3B	61122957	chr9	-	-6.417347659966045	-5.386845571568701	-6.380821783940931
3104	ENSG00000198930	protein_coding	train	-1.4632121967076763	CSAG1	152733755	chrX	-	-3.2877123795494496	-1.7883647466728507	-3.1053180261449205
3201	ENSG00000196188	protein_coding	train	-1.3592621659684545	CTSE	206023821	chr1	-	-1.7226103011891365	-0.2010785304732091	-1.5479317697761892
3523	ENSG00000177243	protein_coding	train	-1.4632121967076763	DEFB103B	7881392	chr8	-	-7.643856189774724	-7.643856189774724	-7.643856189774724
3541	ENSG00000177257	protein_coding	train	-1.4632121967076763	DEFB4B	7894610	chr8	-	-7.643856189774724	-7.643856189774724	-7.643856189774724
4102	ENSG00000205609	protein_coding	train	1.5231804485140492	EIF3CL	28711486	chr16	-	-0.5642647411265316	0.8929738152733337	-0.374074951500346
4724	ENSG00000198019	protein_coding	train	-1.390766794102036	FCGR1B	143874770	chr1	+	-2.196276993225842	-0.7514651638613213	-2.02561753417927
5302	ENSG00000177291	protein_coding	train	-1.3867123753129031	GJD4	35608092	chr10	+	-5.83650126771712	-4.662003536484984	-5.673002535434241
5569	ENSG00000204175	protein_coding	train	-0.8813039117443425	GPRIN2	46556588	chr10	-	0.8448676760745087	2.30363464507901	0.9800253002387338
6556	ENSG00000143127	protein_coding	train	-0.5595067487588543	ITGA10	145910064	chr1	-	-2.1798414652698352	-0.6824643779836457	-2.011587974275212
7116	ENSG00000184724	protein_coding	test	-1.4632121967076763	KRTAP6-1	43527179	chr21	-	-7.643856189774724	-7.643856189774724	-7.643856189774724
7641	ENSG00000198681	protein_coding	valid	-1.4632121967076763	MAGEA1	153179291	chrX	+	-6.158429362604484	-4.961282892427146	-6.011587974275212
7644	ENSG00000213401	protein_coding	train	-1.4632121967076763	MAGEA12	152733766	chrX	+	-7.643856189774724	-7.643856189774724	-7.643856189774724
