gene_id,gene_type,genomic_strand,split,labels,gene_name
ENSG00000121410,protein_coding,-,train,0.12876593191770633,A1BG
ENSG00000148584,protein_coding,-,train,-1.442332166007687,A1CF
ENSG00000175899,protein_coding,-,train,1.1720327724924924,A2M
ENSG00000166535,protein_coding,+,train,-1.3002255721899165,A2ML1
ENSG00000128274,protein_coding,-,train,0.15717849878222165,A4GALT
ENSG00000118017,protein_coding,-,train,-1.4538185410237352,A4GNT
ENSG00000094914,protein_coding,-,valid,0.9747670485374531,AAAS
ENSG00000081760,protein_coding,+,train,0.2190287193872272,AACS
ENSG00000114771,protein_coding,+,train,-1.3948561652083546,AADAC
ENSG00000197953,protein_coding,+,train,-1.4632121967076765,AADACL2
ENSG00000188984,protein_coding,+,train,-1.4632121967076765,AADACL3
ENSG00000204518,protein_coding,+,train,-1.4632121967076765,AADACL4
ENSG00000109576,protein_coding,-,train,0.4126642917171785,AADAT
ENSG00000103591,protein_coding,-,train,0.8725162601860391,AAGAB
ENSG00000115977,protein_coding,-,train,0.4133457515535993,AAK1
ENSG00000127837,protein_coding,-,train,1.265383398138472,AAMP
ENSG00000129673,protein_coding,+,train,-1.3002255721899165,AANAT
ENSG00000124608,protein_coding,-,train,0.5946767279673315,AARS2
ENSG00000157426,protein_coding,-,train,0.3039515641910976,AASDH
ENSG00000149313,protein_coding,+,train,0.769085955163703,AASDHPPT
ENSG00000008311,protein_coding,-,train,0.47407065576515434,AASS
ENSG00000181409,protein_coding,-,train,-0.22386953918460806,AATK
ENSG00000183044,protein_coding,+,valid,0.41862780479053024,ABAT
ENSG00000165029,protein_coding,-,train,0.3720582956550506,ABCA1
ENSG00000154263,protein_coding,-,train,-0.7757309205406713,ABCA10
ENSG00000144452,protein_coding,-,train,-1.3442612603158017,ABCA12
ENSG00000179869,protein_coding,+,train,-1.3461106354089365,ABCA13
ENSG00000107331,protein_coding,-,train,0.5939016990223362,ABCA2
ENSG00000167972,protein_coding,-,train,0.25121365594743394,ABCA3
ENSG00000198691,protein_coding,-,test,-1.2018340551432876,ABCA4
ENSG00000154265,protein_coding,-,train,0.278948361066719,ABCA5
ENSG00000154262,protein_coding,-,train,-0.934229047934206,ABCA6
ENSG00000064687,protein_coding,+,train,0.21387216331373665,ABCA7
ENSG00000141338,protein_coding,-,train,-0.6124758610215107,ABCA8
ENSG00000154258,protein_coding,-,train,-1.0528884566447438,ABCA9
ENSG00000085563,protein_coding,-,train,-0.5137819166207539,ABCB1
ENSG00000135776,protein_coding,-,train,0.573163593312114,ABCB10
ENSG00000073734,protein_coding,-,test,-1.3727887393688523,ABCB11
ENSG00000005471,protein_coding,-,train,-0.9938093685447092,ABCB4
ENSG00000004846,protein_coding,+,test,-1.4468933945211957,ABCB5
ENSG00000115657,protein_coding,-,train,0.5953267751388854,ABCB6
ENSG00000131269,protein_coding,-,train,0.8417957234145631,ABCB7
ENSG00000197150,protein_coding,+,train,0.46357008493775764,ABCB8
ENSG00000150967,protein_coding,-,train,-0.2376355351879187,ABCB9
ENSG00000103222,protein_coding,+,valid,1.0243875200737926,ABCC1
ENSG00000124574,protein_coding,+,train,0.4917898350727493,ABCC10
ENSG00000121270,protein_coding,-,train,-1.2692955171527367,ABCC11
ENSG00000140798,protein_coding,-,valid,-1.4491905617733891,ABCC12
ENSG00000023839,protein_coding,+,train,-0.6334545634037179,ABCC2
ENSG00000108846,protein_coding,+,train,-0.24942045896487658,ABCC3
ENSG00000125257,protein_coding,-,train,0.3072560597079729,ABCC4
ENSG00000114770,protein_coding,-,valid,0.6046992015250078,ABCC5
ENSG00000006071,protein_coding,-,train,-1.1843872982171648,ABCC8
ENSG00000069431,protein_coding,-,train,-1.0785360059726263,ABCC9
ENSG00000101986,protein_coding,+,train,0.49794478476612813,ABCD1
ENSG00000173208,protein_coding,-,train,-1.0957094329513701,ABCD2
ENSG00000117528,protein_coding,+,train,0.7221920253570172,ABCD3
ENSG00000119688,protein_coding,-,valid,0.5892560769260781,ABCD4
ENSG00000164163,protein_coding,+,train,1.011377561928432,ABCE1
ENSG00000204574,protein_coding,+,valid,1.2301880919800747,ABCF1
ENSG00000033050,protein_coding,-,train,1.0470498497806113,ABCF2
ENSG00000161204,protein_coding,+,train,0.8420716180989956,ABCF3
ENSG00000160179,protein_coding,+,train,0.05692271754899788,ABCG1
ENSG00000118777,protein_coding,-,train,-0.4154255006394912,ABCG2
ENSG00000172350,protein_coding,+,test,-1.0569000163707332,ABCG4
ENSG00000138075,protein_coding,-,train,-1.440067893877767,ABCG5
ENSG00000143921,protein_coding,+,train,-1.433339212116305,ABCG8
ENSG00000143994,protein_coding,+,train,-0.889017319264794,ABHD1
ENSG00000144827,protein_coding,+,train,0.8872365395796655,ABHD10
ENSG00000106077,protein_coding,-,train,0.6206534851895383,ABHD11
ENSG00000100997,protein_coding,-,train,1.0286005721616747,ABHD12
ENSG00000131969,protein_coding,+,train,-1.3948561652083546,ABHD12B
ENSG00000139826,protein_coding,+,train,0.5267900580157528,ABHD13
ENSG00000248487,protein_coding,+,train,0.629859652676697,ABHD14A
ENSG00000114786,protein_coding,+,train,0.9556341825213586,ABHD14A-ACY1
ENSG00000168792,protein_coding,-,train,0.44321085003506855,ABHD15
ENSG00000204427,protein_coding,-,train,0.8358900467596686,ABHD16A
ENSG00000183260,protein_coding,+,valid,-1.4491905617733891,ABHD16B
ENSG00000140526,protein_coding,+,train,0.9751699999583352,ABHD2
ENSG00000158201,protein_coding,-,train,0.8050467200784884,ABHD3
ENSG00000100439,protein_coding,+,train,1.018453560587025,ABHD4
ENSG00000011198,protein_coding,+,train,0.5608170179339997,ABHD5
ENSG00000163686,protein_coding,+,train,0.35818818738132296,ABHD6
ENSG00000127220,protein_coding,-,train,0.6537798821924938,ABHD8
ENSG00000136754,protein_coding,-,train,1.1505030982883622,ABI1
ENSG00000138443,protein_coding,+,train,0.8460815132575525,ABI2
ENSG00000108798,protein_coding,+,train,-0.14933164228966533,ABI3
ENSG00000154175,protein_coding,-,train,-0.5011314573136484,ABI3BP
ENSG00000097007,protein_coding,+,train,1.2121041008086308,ABL1
ENSG00000143322,protein_coding,-,train,0.48889512625751996,ABL2
ENSG00000099204,protein_coding,-,train,1.015758230469934,ABLIM1
ENSG00000163995,protein_coding,-,train,-0.6297566001158119,ABLIM2
ENSG00000173210,protein_coding,+,train,0.2927282800099599,ABLIM3
ENSG00000159842,protein_coding,-,train,1.2328417936111888,ABR
ENSG00000174429,protein_coding,-,train,-1.4468933945211957,ABRA
ENSG00000146109,protein_coding,+,train,1.0084733223054254,ABT1
ENSG00000114626,protein_coding,+,train,0.461154554536113,ABTB1
ENSG00000166016,protein_coding,-,train,0.15373822972864523,ABTB2
ENSG00000060971,protein_coding,-,train,0.7963392338379507,ACAA1
ENSG00000167315,protein_coding,-,train,1.3124194079247662,ACAA2
ENSG00000076555,protein_coding,+,train,0.20331710017427065,ACACB
ENSG00000111271,protein_coding,+,train,0.39341155338632555,ACAD10
ENSG00000240303,protein_coding,-,train,0.6154639702637639,ACAD11
ENSG00000151498,protein_coding,+,valid,0.492597198101181,ACAD8
ENSG00000177646,protein_coding,+,train,0.8131870414813965,ACAD9
ENSG00000115361,protein_coding,-,test,-1.1123945331559366,ACADL
ENSG00000117054,protein_coding,+,train,0.8703904196144504,ACADM
ENSG00000122971,protein_coding,+,train,0.45645212397506124,ACADS
ENSG00000196177,protein_coding,+,train,0.564759445847469,ACADSB
ENSG00000072778,protein_coding,+,valid,1.8316750449461092,ACADVL
ENSG00000157766,protein_coding,+,train,-1.1238531606032574,ACAN
ENSG00000072818,protein_coding,+,train,-0.3001345849692677,ACAP1
ENSG00000114331,protein_coding,-,train,0.6632829139688156,ACAP2
ENSG00000131584,protein_coding,-,train,0.7981379453145877,ACAP3
ENSG00000075239,protein_coding,+,train,0.7783664802125382,ACAT1
ENSG00000120437,protein_coding,+,train,1.1151990473008444,ACAT2
ENSG00000182827,protein_coding,-,valid,1.0778383954367907,ACBD3
ENSG00000181513,protein_coding,+,train,0.4083254957151485,ACBD4
ENSG00000107897,protein_coding,-,train,0.8185695409554647,ACBD5
ENSG00000176244,protein_coding,-,train,-0.6766083100575945,ACBD7
ENSG00000110455,protein_coding,+,train,0.07929188922022488,ACCS
ENSG00000102977,protein_coding,-,train,0.8827349094780804,ACD
ENSG00000159640,protein_coding,+,test,-0.3888328797925734,ACE
ENSG00000130234,protein_coding,-,train,-1.1344080509198593,ACE2
ENSG00000167769,protein_coding,-,train,-1.382692316418072,ACER1
ENSG00000177076,protein_coding,+,valid,-0.0404869456434086,ACER2
ENSG00000078124,protein_coding,+,train,0.46201573016244096,ACER3
ENSG00000087085,protein_coding,-,train,-0.369054795480859,ACHE
ENSG00000100813,protein_coding,-,train,1.3225301634237296,ACIN1
ENSG00000131473,protein_coding,-,train,1.8115657941460845,ACLY
ENSG00000153086,protein_coding,+,train,-1.4378143784255997,ACMSD
ENSG00000122729,protein_coding,+,train,1.1293866760000606,ACO1
ENSG00000100412,protein_coding,+,train,1.3472069925850783,ACO2
ENSG00000184227,protein_coding,+,train,0.48395277529844494,ACOT1
ENSG00000162390,protein_coding,+,train,-0.37142306855053425,ACOT11
ENSG00000172497,protein_coding,-,train,-1.2756416199680445,ACOT12
