gene_id,gene_type,split,labels,gene_name,TSS,chromosome_name,strand
ENSG00000121410,protein_coding,train,0.1287659319177063,A1BG,58347673,chr19,-
ENSG00000148584,protein_coding,train,-1.442332166007687,A1CF,50885633,chr10,-
ENSG00000175899,protein_coding,train,1.1720327724924924,A2M,9115927,chr12,-
ENSG00000166535,protein_coding,train,-1.3002255721899163,A2ML1,8822627,chr12,+
ENSG00000128274,protein_coding,train,0.1571784987822216,A4GALT,42720879,chr22,-
ENSG00000118017,protein_coding,train,-1.4538185410237352,A4GNT,138132394,chr3,-
ENSG00000094914,protein_coding,valid,0.9747670485374532,AAAS,53321627,chr12,-
ENSG00000081760,protein_coding,train,0.2190287193872272,AACS,125065449,chr12,+
ENSG00000114771,protein_coding,train,-1.3948561652083546,AADAC,151814127,chr3,+
ENSG00000197953,protein_coding,train,-1.4632121967076763,AADACL2,151733934,chr3,+
ENSG00000188984,protein_coding,train,-1.4632121967076763,AADACL3,12716116,chr1,+
ENSG00000204518,protein_coding,train,-1.4632121967076763,AADACL4,12644522,chr1,+
ENSG00000109576,protein_coding,train,0.4126642917171785,AADAT,170090257,chr4,-
ENSG00000103591,protein_coding,train,0.8725162601860391,AAGAB,67254686,chr15,-
ENSG00000115977,protein_coding,train,0.4133457515535993,AAK1,69643680,chr2,-
ENSG00000127837,protein_coding,train,1.265383398138472,AAMP,218270175,chr2,-
ENSG00000129673,protein_coding,train,-1.3002255721899163,AANAT,76467619,chr17,+
ENSG00000124608,protein_coding,train,0.5946767279673315,AARS2,44313354,chr6,-
ENSG00000157426,protein_coding,train,0.3039515641910976,AASDH,56387504,chr4,-
ENSG00000149313,protein_coding,train,0.769085955163703,AASDHPPT,106077689,chr11,+
ENSG00000008311,protein_coding,train,0.4740706557651543,AASS,122144296,chr7,-
ENSG00000181409,protein_coding,train,-0.223869539184608,AATK,81128897,chr17,-
ENSG00000183044,protein_coding,valid,0.4186278047905302,ABAT,8674627,chr16,+
ENSG00000165029,protein_coding,train,0.3720582956550506,ABCA1,104928161,chr9,-
ENSG00000154263,protein_coding,train,-0.7757309205406713,ABCA10,69228771,chr17,-
ENSG00000144452,protein_coding,train,-1.3442612603158015,ABCA12,215138636,chr2,-
ENSG00000179869,protein_coding,train,-1.3461106354089365,ABCA13,48171466,chr7,+
ENSG00000107331,protein_coding,train,0.5939016990223362,ABCA2,137028245,chr9,-
ENSG00000167972,protein_coding,train,0.2512136559474339,ABCA3,2340761,chr16,-
