gene_id,gene_type,split,labels,gene_name,TSS,chromosome_name,strand,fpkm_median,tpm_median,fpkm_uq_median
ENSG00000121410,protein_coding,train,0.1287659319177063,A1BG,58347673,chr19,-,-4.5631985264295,-3.17266872938774,-4.445362036135642
ENSG00000148584,protein_coding,train,-1.442332166007687,A1CF,50885633,chr10,-,-7.243318260190997,-6.687799537362322,-7.1791879227712805
ENSG00000175899,protein_coding,train,1.1720327724924924,A2M,9115927,chr12,-,5.214346322875054,6.680884108445916,5.391613078291697
ENSG00000166535,protein_coding,train,-1.3002255721899163,A2ML1,8822627,chr12,+,-2.501442751900984,-1.0241497397288344,-2.346664773208869
ENSG00000128274,protein_coding,train,0.1571784987822216,A4GALT,42720879,chr22,-,2.025064241108664,3.517855174822648,2.1944653316379967
ENSG00000118017,protein_coding,train,-1.4538185410237352,A4GNT,138132394,chr3,-,-5.339345147964772,-4.163591067720263,-5.158429362604483
ENSG00000094914,protein_coding,valid,0.9747670485374532,AAAS,53321627,chr12,-,3.806231243429805,5.282714083744913,3.99677739012741
ENSG00000081760,protein_coding,train,0.2190287193872272,AACS,125065449,chr12,+,1.049700461453794,2.587316980319278,1.2220007795286991
ENSG00000114771,protein_coding,train,-1.3948561652083546,AADAC,151814127,chr3,+,0.7805620761710598,2.246073598622395,0.9977620878563146
ENSG00000197953,protein_coding,train,-1.4632121967076763,AADACL2,151733934,chr3,+,-6.546245393148302,-5.594225422050124,-6.429731384421878
ENSG00000188984,protein_coding,train,-1.4632121967076763,AADACL3,12716116,chr1,+,-6.601211852366231,-5.717856771218502,-6.559791924986251
ENSG00000204518,protein_coding,train,-1.4632121967076763,AADACL4,12644522,chr1,+,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000109576,protein_coding,train,0.4126642917171785,AADAT,170090257,chr4,-,0.4111007890854134,1.9314561409127124,0.5989368338225272
ENSG00000103591,protein_coding,train,0.8725162601860391,AAGAB,67254686,chr15,-,3.3135361032805206,4.755266827653981,3.468765760127853
ENSG00000115977,protein_coding,train,0.4133457515535993,AAK1,69643680,chr2,-,1.5449798832558037,3.039664828884845,1.7236459287004278
ENSG00000127837,protein_coding,train,1.265383398138472,AAMP,218270175,chr2,-,5.2746306755816414,6.801624300286018,5.46697616955751
ENSG00000129673,protein_coding,train,-1.3002255721899163,AANAT,76467619,chr17,+,-2.448508591452505,-0.9816506901211082,-2.2834919132312543
ENSG00000124608,protein_coding,train,0.5946767279673315,AARS2,44313354,chr6,-,2.163852921958912,3.6752739720971928,2.3274574342941534
ENSG00000157426,protein_coding,train,0.3039515641910976,AASDH,56387504,chr4,-,1.1346152444251083,2.650511835622164,1.3286641575580502
